d,ns,var_wp_emp,wp_emp_lci,wp_emp_uci
1,100,2.8897223681192535e-4,2.4546392826036106e-4,3.324805453634896e-4
1,178,9.965040196426687e-5,8.698374475628929e-5,1.1231705917224444e-4
1,316,3.313980909326731e-5,2.7745566761646193e-5,3.853405142488842e-5
1,562,9.508447123791626e-6,8.196018916834801e-6,1.0820875330748451e-5
1,1000,3.220523620710545e-6,2.8596071559311322e-6,3.581440085489958e-6
1,1778,1.0304036941299609e-6,9.075752030318353e-7,1.1532321852280865e-6
1,3162,3.322624338793273e-7,2.914582160292679e-7,3.7306665172938676e-7
2,100,8.272197125241635e-4,7.566359252363593e-4,8.978034998119677e-4
2,178,2.543935074312451e-4,2.3458062004515023e-4,2.7420639481733994e-4
2,316,8.524502865123626e-5,7.731864426792947e-5,9.317141303454306e-5
2,562,2.6863864390729946e-5,2.3954076933616153e-5,2.977365184784374e-5
2,1000,8.520161184599555e-6,7.667370290120423e-6,9.372952079078688e-6
2,1778,2.940463688819653e-6,2.6779476852888208e-6,3.2029796923504854e-6
2,3162,9.484736966348562e-7,8.676085619241966e-7,1.0293388313455157e-6
3,100,0.0016990119973896729,0.001575012585653025,0.0018230114091263207
3,178,5.477753249020652e-4,5.086497061241472e-4,5.869009436799832e-4
3,316,1.81562967229464e-4,1.6933159439466014e-4,1.9379434006426785e-4
3,562,6.142866725365861e-5,5.699733089325082e-5,6.586000361406641e-5
3,1000,2.101032669065648e-5,1.947823582509653e-5,2.2542417556216432e-5
3,1778,7.2012200138604544e-6,6.698406931091695e-6,7.704033096629213e-6
3,3162,2.443598881406341e-6,2.2712319112357087e-6,2.6159658515769734e-6
10,100,0.020194817290262512,0.01894127143558328,0.021448363144941744
10,178,0.008837860730260655,0.008303476336601747,0.009372245123919563
10,316,0.0036355149043406135,0.003408382379123837,0.00386264742955739
10,562,0.0016498062991168038,0.0015446939336112402,0.0017549186646223674
10,1000,7.483548921881231e-4,7.036812074025515e-4,7.930285769736947e-4
10,1778,3.1273376800640575e-4,2.9252658193848767e-4,3.329409540743238e-4
10,3162,1.3904383862022894e-4,1.301409539867184e-4,1.479467232537395e-4
4,100,0.0028881457452831793,0.0026850587377007626,0.003091232752865596
4,178,0.0010693625365963302,9.998846895915873e-4,0.0011388403836010731
4,316,3.803359712672031e-4,3.5643205829060726e-4,4.042398842437989e-4
4,562,1.2828396918000194e-4,1.1970192491185767e-4,1.368660134481462e-4
4,1000,4.922774410589983e-5,4.613475913404484e-5,5.232072907775482e-5
4,1778,1.5830788850988067e-5,1.4829424396464042e-5,1.683215330551209e-5
4,3162,5.733029738150467e-6,5.373718304634099e-6,6.092341171666835e-6
7,100,0.009787969193449368,0.009116857442410227,0.010459080944488509
7,178,0.0038604550898700975,0.0036062576323680666,0.004114652547372128
7,316,0.001599731999766135,0.0014934311140404142,0.0017060328854918557
7,562,6.775279137181594e-4,6.333989929813811e-4,7.216568344549378e-4
7,1000,2.576807479715759e-4,2.4056021902202533e-4,2.748012769211264e-4
7,1778,1.0651218019071856e-4,9.98319264681321e-5,1.1319243391330502e-4
7,3162,4.1017599492079714e-5,3.859737391995313e-5,4.34378250642063e-5
